name,created_at,updated_at,stars,language,releases,merged_pr,total_issues,closed_issues
tauri,2019-07-13T09:09:37Z,2026-03-14T16:33:19Z,104080,Rust,0,5410,6182,4918
papers-we-love,2013-12-15T14:31:41Z,2026-03-14T16:40:52Z,104074,Shell,0,439,248,246
create-react-app,2016-07-17T14:55:11Z,2026-03-14T10:27:25Z,103823,JavaScript,83,1949,8424,6574
clash-verge-rev,2023-11-21T18:24:03Z,2026-03-14T16:39:30Z,102745,TypeScript,62,768,5037,4866
terminal,2017-08-11T18:38:22Z,2026-03-14T16:33:13Z,102190,C++,148,4391,13828,12184
DeepSeek-V3,2024-12-26T09:52:40Z,2026-03-14T16:38:46Z,102142,Python,1,25,736,684
awesome-llm-apps,2024-04-29T05:30:25Z,2026-03-14T16:14:22Z,102067,Python,0,171,125,124
awesome-mac,2016-07-17T15:33:47Z,2026-03-14T16:35:20Z,100158,JavaScript,14,1090,516,379
angular,2014-09-18T16:12:01Z,2026-03-14T16:32:07Z,100083,TypeScript,618,5783,30452,29449
supabase,2019-10-12T05:56:49Z,2026-03-14T16:33:00Z,98958,TypeScript,26,15764,5273,5000
HowToCook,2020-02-29T10:43:49Z,2026-03-14T15:09:12Z,98785,Dockerfile,4,616,828,364
v2rayN,2019-07-30T03:47:24Z,2026-03-14T16:37:24Z,98758,C#,302,405,6621,6609
pytorch,2016-08-13T05:26:41Z,2026-03-14T16:20:18Z,98244,Python,64,6444,57310,41253
every-programmer-should-know,2017-08-24T13:18:26Z,2026-03-14T16:38:25Z,98242,,0,110,45,31
material-ui,2014-08-18T19:11:54Z,2026-03-14T16:26:47Z,98012,JavaScript,559,21523,20356,18766
llama.cpp,2023-03-10T18:58:00Z,2026-03-14T16:03:17Z,97912,C++,1000,7615,7276,6799
ant-design,2015-04-24T15:37:24Z,2026-03-14T16:26:54Z,97702,TypeScript,741,17138,32437,31161
gemini-cli,2025-04-17T17:04:31Z,2026-03-14T16:35:00Z,97698,TypeScript,417,5527,11255,8982
neovim,2014-01-31T13:39:22Z,2026-03-14T16:09:38Z,97167,Vim Script,48,17827,13773,12144
fastapi,2018-12-08T08:21:47Z,2026-03-14T16:35:53Z,96196,Python,269,3176,3510,3499
whisper,2022-09-16T20:02:54Z,2026-03-14T16:22:15Z,95936,Python,13,119,0,0
thefuck,2015-04-08T15:08:04Z,2026-03-14T13:49:31Z,95692,Python,17,481,774,477
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2026-03-14T16:29:42Z,95422,JavaScript,0,667,426,387
immich,2022-02-03T15:56:27Z,2026-03-14T16:34:28Z,94712,TypeScript,287,8794,8045,7548
clean-code-javascript,2016-11-25T22:25:41Z,2026-03-14T15:34:40Z,94322,JavaScript,0,149,245,165
tailwindcss,2017-10-06T14:59:14Z,2026-03-14T16:38:06Z,94030,TypeScript,300,3308,4782,4726
puppeteer,2017-05-09T22:16:13Z,2026-03-14T16:10:19Z,93816,TypeScript,650,5852,7327,7065
java-design-patterns,2014-08-09T16:45:18Z,2026-03-14T12:08:01Z,93800,Java,0,1520,979,840
skills,2025-09-22T15:53:31Z,2026-03-14T16:41:10Z,93356,Python,0,22,176,26
firecrawl,2024-04-15T21:02:29Z,2026-03-14T16:39:15Z,92908,TypeScript,32,1401,829,784
nvm,2010-04-15T17:47:47Z,2026-03-14T16:36:08Z,92288,Shell,71,741,2395,2064
DeepSeek-R1,2025-01-20T11:57:28Z,2026-03-14T15:26:20Z,91961,,1,10,696,677
app-ideas,2019-02-25T18:36:56Z,2026-03-14T16:07:00Z,91192,,0,151,196,51
markitdown,2024-11-13T19:56:40Z,2026-03-14T15:42:14Z,90737,Python,18,171,388,84
vue-element-admin,2017-04-17T03:35:49Z,2026-03-14T13:47:32Z,90288,Vue,49,311,3613,2358
storybook,2016-03-18T04:23:44Z,2026-03-14T16:28:37Z,89444,TypeScript,1000,12349,14177,12069
bitcoin,2010-12-19T15:16:43Z,2026-03-14T16:37:50Z,88489,C++,63,16233,9020,8664
gin,2014-06-16T23:57:25Z,2026-03-14T16:14:10Z,88230,Go,29,1227,2383,1789
bun,2021-04-14T00:48:17Z,2026-03-14T16:39:08Z,88105,Zig,210,7220,15858,10969
LLMs-from-scratch,2023-07-23T18:15:57Z,2026-03-14T16:41:37Z,88025,Jupyter Notebook,0,483,220,218
NextChat,2023-03-10T18:27:54Z,2026-03-14T16:08:57Z,87496,TypeScript,77,894,3582,2899
hugo,2013-07-04T15:26:26Z,2026-03-14T15:12:59Z,87081,Go,365,3255,8046,7809
django,2012-04-28T02:47:18Z,2026-03-14T15:11:20Z,87038,Python,0,10348,0,0
mermaid,2014-11-01T23:52:32Z,2026-03-14T16:11:19Z,86643,TypeScript,184,2610,3590,2226
opencv,2012-07-19T09:40:17Z,2026-03-14T16:14:45Z,86589,C++,67,13518,11446,8873
svelte,2016-11-20T18:13:05Z,2026-03-14T15:24:25Z,86049,JavaScript,611,6551,8944,8031
weekly,2018-10-13T12:36:07Z,2026-03-14T16:32:17Z,85990,,0,106,8574,1298
core,2013-09-17T07:29:48Z,2026-03-14T16:30:39Z,85335,Python,1000,82832,68535,65567
manim,2015-03-22T18:50:58Z,2026-03-14T15:56:12Z,85244,Python,13,662,1226,767
ML-For-Beginners,2021-03-03T01:34:05Z,2026-03-14T16:17:25Z,84380,Jupyter Notebook,0,446,159,158
playwright,2019-11-15T18:32:42Z,2026-03-14T16:15:36Z,84226,TypeScript,158,16354,17137,16542
uptime-kuma,2021-07-03T01:02:42Z,2026-03-14T16:25:45Z,84048,JavaScript,126,1699,4677,4017
laravel,2011-06-08T03:06:08Z,2026-03-14T16:00:48Z,83943,Blade,213,1672,0,0
awesome-for-beginners,2015-10-24T19:53:36Z,2026-03-14T15:38:09Z,83466,,0,469,205,188
mall,2018-04-04T01:11:44Z,2026-03-14T15:22:44Z,83146,Java,3,1,500,490
awesome-mcp-servers,2024-11-30T04:49:10Z,2026-03-14T16:30:26Z,83073,,0,1582,238,229
realworld,2016-02-26T20:49:53Z,2026-03-14T15:38:19Z,82995,TypeScript,0,434,545,513
superpowers,2025-10-09T19:45:18Z,2026-03-14T16:41:10Z,82827,Shell,0,43,378,322
animate.css,2011-10-12T10:07:38Z,2026-03-14T16:04:26Z,82631,CSS,22,315,883,843
devops-exercises,2019-10-03T17:31:21Z,2026-03-14T16:39:21Z,81491,Python,0,309,104,70
awesome-interview-questions,2015-11-28T09:48:17Z,2026-03-14T15:54:52Z,81408,,0,175,61,34
FiraCode,2014-11-11T19:32:38Z,2026-03-14T16:32:25Z,81294,Clojure,29,142,1380,961
servers,2024-11-19T01:10:17Z,2026-03-14T16:14:27Z,81071,TypeScript,24,1180,867,565
uv,2023-10-02T20:24:11Z,2026-03-14T16:35:45Z,80944,Rust,261,8592,8648,6307
syncthing,2013-11-26T09:48:21Z,2026-03-14T16:41:13Z,80801,Go,463,2841,5867,5491
browser-use,2024-10-31T16:00:56Z,2026-03-14T16:34:45Z,80768,Python,119,1684,1413,1300
system-design-101,2023-09-18T20:52:03Z,2026-03-14T16:41:08Z,80732,,0,23,59,19
spring-boot,2012-10-19T15:02:57Z,2026-03-14T16:19:50Z,80243,Java,339,45,41553,41061
Deep-Live-Cam,2023-09-24T13:19:31Z,2026-03-14T15:56:19Z,80018,Python,11,98,1118,1038
funNLP,2018-08-21T11:20:39Z,2026-03-14T16:33:39Z,79380,Python,0,14,85,48
vite,2020-04-21T05:03:57Z,2026-03-14T16:32:26Z,78931,TypeScript,665,6094,8376,7911
advanced-java,2018-10-06T11:38:30Z,2026-03-14T16:18:46Z,78898,Java,1,89,148,147
github-readme-stats,2020-07-09T10:34:22Z,2026-03-14T14:30:16Z,78718,JavaScript,0,1568,1385,1228
fzf,2013-10-23T16:04:23Z,2026-03-14T16:33:09Z,78587,Go,76,645,3109,2858
hoppscotch,2019-08-21T13:15:24Z,2026-03-14T16:16:47Z,78447,TypeScript,99,2041,2353,1774
netdata,2013-06-17T18:39:10Z,2026-03-14T15:55:44Z,78059,C,132,11782,8204,8052
claude-code,2025-02-22T17:41:21Z,2026-03-14T16:35:13Z,77885,Shell,61,146,32829,26801
models,2016-02-05T01:15:20Z,2026-03-14T09:09:01Z,77688,Python,51,2342,7324,6240
gpt4all,2023-03-27T18:49:32Z,2026-03-14T13:57:08Z,77227,C++,38,938,2213,1493
zed,2021-02-20T03:01:06Z,2026-03-14T16:23:28Z,77128,Rust,1000,22379,18841,16171
cs-video-courses,2016-10-21T17:02:11Z,2026-03-14T16:33:44Z,77098,,0,258,0,0
spec-kit,2025-08-21T22:54:31Z,2026-03-14T16:39:40Z,76743,Python,115,210,894,358
LeetCodeAnimation,2018-12-06T08:01:22Z,2026-03-14T07:05:58Z,76718,Java,0,63,61,43
llm-course,2023-06-17T22:16:25Z,2026-03-14T16:16:33Z,76659,,0,2,95,32
code-server,2019-02-27T16:50:41Z,2026-03-14T14:49:02Z,76636,TypeScript,226,1643,3801,3631
localsend,2022-12-16T00:46:07Z,2026-03-14T15:56:11Z,76470,Dart,24,702,1605,742
Font-Awesome,2012-02-17T14:19:43Z,2026-03-14T16:30:00Z,76414,JavaScript,63,220,19905,19612
elasticsearch,2010-02-08T13:20:56Z,2026-03-14T16:05:13Z,76337,Java,235,87745,43251,38791
d2l-zh,2017-08-23T04:40:24Z,2026-03-14T13:40:38Z,76190,Python,16,1019,0,0
PayloadsAllTheThings,2016-10-18T07:29:07Z,2026-03-14T16:10:58Z,76039,Python,5,564,0,0
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2026-03-14T11:25:57Z,75842,,0,431,185,105
json-server,2013-11-27T13:21:13Z,2026-03-14T16:05:44Z,75655,JavaScript,47,165,1181,566
everything-claude-code,2026-01-18T00:51:51Z,2026-03-14T16:41:31Z,75588,JavaScript,10,135,161,152
Stirling-PDF,2023-01-27T18:22:42Z,2026-03-14T16:17:43Z,75287,TypeScript,170,3202,1668,1319
Ventoy,2020-03-10T15:19:19Z,2026-03-14T16:39:15Z,75053,C,108,294,2696,1877
ragflow,2023-12-12T06:13:13Z,2026-03-14T16:29:34Z,74989,Python,40,5553,6672,3645
nest,2017-02-04T20:12:52Z,2026-03-14T13:01:57Z,74914,TypeScript,143,8113,5789,5772
union,2023-05-16T22:33:39Z,2026-03-14T11:47:21Z,74237,Rust,107,3102,1837,1709
lazygit,2018-05-19T00:53:06Z,2026-03-14T16:32:40Z,74186,Go,177,1823,2527,1744
sherlock,2018-12-24T14:30:48Z,2026-03-14T16:10:49Z,73687,Python,2,735,1150,1070
lobehub,2023-05-21T07:19:12Z,2026-03-14T16:32:41Z,73643,TypeScript,1000,4442,5486,5037
awesome-vue,2015-10-20T00:16:14Z,2026-03-14T09:42:16Z,73628,,0,3619,231,191
awesome-public-datasets,2014-11-20T06:20:50Z,2026-03-14T16:19:55Z,73410,,1,188,124,48
redis,2009-03-21T22:32:25Z,2026-03-14T15:37:47Z,73393,C,117,4436,6919,4708
vllm,2023-02-09T11:23:20Z,2026-03-14T16:36:17Z,73074,Python,86,14763,14046,12345
tesseract,2014-08-12T18:04:59Z,2026-03-14T16:13:22Z,72893,C++,35,1432,2749,2318
the-algorithm,2023-03-27T14:57:57Z,2026-03-14T16:16:10Z,72858,Scala,0,2,1067,749
stable-diffusion,2022-08-10T14:36:44Z,2026-03-14T16:14:57Z,72686,Jupyter Notebook,0,5,736,199
grafana,2013-12-11T15:59:56Z,2026-03-14T16:07:46Z,72643,TypeScript,597,63050,43321,40055
awesome-react,2014-08-06T05:31:44Z,2026-03-14T16:15:36Z,72371,,0,794,119,117
Front-End-Checklist,2017-10-16T10:12:36Z,2026-03-14T15:56:14Z,72350,,1,179,152,151
PaddleOCR,2020-05-08T10:38:16Z,2026-03-14T16:40:00Z,72278,Python,29,3128,10510,10301
openai-cookbook,2022-03-11T02:08:53Z,2026-03-14T16:13:56Z,72109,Jupyter Notebook,0,1012,736,669
awesome-machine-learning,2014-07-15T19:11:19Z,2026-03-14T16:03:44Z,71969,Python,0,901,99,97
imgui,2014-07-21T14:29:47Z,2026-03-14T16:14:55Z,71952,C++,118,419,6804,5762
cpython,2017-02-10T19:23:51Z,2026-03-14T16:30:35Z,71933,Python,0,57456,75559,68387
screenshot-to-code,2023-11-14T17:53:32Z,2026-03-14T15:45:22Z,71924,TypeScript,0,76,396,282
cs-self-learning,2021-10-20T13:43:42Z,2026-03-14T15:58:15Z,71826,HTML,5,315,231,107
Prompt-Engineering-Guide,2022-12-16T16:04:50Z,2026-03-14T16:00:47Z,71612,MDX,0,342,241,74
strapi,2015-09-30T15:34:48Z,2026-03-14T16:32:14Z,71590,TypeScript,516,9606,11826,11264
moby,2013-01-18T18:10:57Z,2026-03-14T14:15:12Z,71520,Go,276,22372,23388,20118
flask,2010-04-06T11:11:59Z,2026-03-14T12:34:45Z,71331,Python,38,1628,2723,2723
superset,2015-07-21T18:55:34Z,2026-03-14T16:12:02Z,70961,TypeScript,244,16542,12227,11603
obs-studio,2013-10-01T02:40:31Z,2026-03-14T16:23:06Z,70930,C,238,5425,4930,4172
protobuf,2014-08-26T15:52:15Z,2026-03-14T11:55:44Z,70840,C++,208,8775,6804,6681
caddy,2015-01-13T19:45:03Z,2026-03-14T15:58:18Z,70789,Go,134,2266,4498,4297
reveal.js,2011-06-07T18:54:22Z,2026-03-14T13:36:28Z,70729,JavaScript,50,414,2494,1703
gpt_academic,2023-03-20T09:05:13Z,2026-03-14T08:47:14Z,70222,Python,32,228,1757,1482
awesome-cpp,2014-07-17T08:51:11Z,2026-03-14T16:41:27Z,70196,,0,840,591,356
swift,2015-10-23T21:15:07Z,2026-03-14T14:20:40Z,69860,C++,66,58195,17516,10095
tabby,2016-12-23T09:06:10Z,2026-03-14T16:42:31Z,69522,TypeScript,204,1512,6044,3511
SecLists,2012-02-19T01:30:18Z,2026-03-14T16:15:24Z,69458,PHP,29,696,318,309
awesome-scalability,2017-12-27T03:46:40Z,2026-03-14T15:33:11Z,69388,,0,37,0,0
act,2019-01-02T19:53:43Z,2026-03-14T16:33:41Z,69345,Go,92,1057,1320,1077
OpenHands,2024-03-13T03:33:31Z,2026-03-14T15:56:19Z,69105,Python,100,6503,3866,3698
express,2009-06-26T18:56:01Z,2026-03-14T16:32:13Z,68879,JavaScript,164,523,4030,3930
node,2023-02-01T13:55:02Z,2026-03-14T16:13:26Z,68691,Go,72,249,332,328
AppFlowy,2021-06-16T12:56:48Z,2026-03-14T15:49:44Z,68588,Dart,128,3894,3922,3022
LlamaFactory,2023-05-28T10:09:12Z,2026-03-14T16:02:21Z,68398,Python,35,907,7881,6973
ansible,2012-03-06T14:58:02Z,2026-03-14T16:02:33Z,68279,Python,207,39691,33295,32762
Chart.js,2013-03-17T23:56:36Z,2026-03-14T16:28:24Z,67261,JavaScript,117,3016,7301,6817
awesome-courses,2014-11-15T18:36:49Z,2026-03-14T16:41:35Z,67020,,0,194,83,39
anime,2016-03-13T21:37:45Z,2026-03-14T15:03:27Z,66848,JavaScript,34,87,836,750
33-js-concepts,2018-09-04T13:27:04Z,2026-03-14T15:33:38Z,66281,JavaScript,0,262,119,119
webpack,2012-03-10T10:08:14Z,2026-03-14T14:26:24Z,66015,JavaScript,448,5581,10155,10045
annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2026-03-14T16:18:19Z,65966,Python,0,104,142,114
echarts,2013-04-03T03:18:59Z,2026-03-14T15:00:34Z,65933,TypeScript,122,1494,19315,17686
AFFiNE,2022-07-31T18:45:21Z,2026-03-14T16:18:13Z,65927,TypeScript,541,9047,3630,3121
ChinaTextbook,2020-01-05T04:11:06Z,2026-03-14T16:11:07Z,65834,Roff,0,1,163,76
gpt4free,2023-03-29T17:00:43Z,2026-03-14T15:04:12Z,65755,Python,432,875,1997,1993
ghidra,2019-03-01T03:27:48Z,2026-03-14T15:51:42Z,65735,Java,52,556,5872,4337
scikit-learn,2010-08-17T09:43:38Z,2026-03-14T16:00:44Z,65388,Python,49,14192,11990,10408
javascript-questions,2019-06-12T08:26:27Z,2026-03-14T16:37:01Z,65307,,0,328,252,233
awesome-nodejs,2014-07-11T13:35:34Z,2026-03-14T14:37:43Z,65294,,0,421,105,102
codex,2025-04-13T05:37:54Z,2026-03-14T16:33:58Z,65248,Rust,616,4589,6857,5089
Java,2016-07-16T10:21:02Z,2026-03-14T13:22:26Z,65206,Java,0,2271,1205,1178
MetaGPT,2023-06-30T09:04:55Z,2026-03-14T16:26:39Z,65154,Python,22,673,909,892
design-resources-for-developers,2020-05-06T14:40:35Z,2026-03-14T12:26:40Z,65015,,0,967,112,109
nocode,2018-02-06T23:54:00Z,2026-03-14T12:07:41Z,64995,Dockerfile,1,1,4928,729
daytona,2024-02-06T08:21:20Z,2026-03-14T16:42:23Z,64995,TypeScript,164,1913,1073,837
