name;created_at;updated_at;stars;language;releases;merged_pr;total_issues;closed_issues;idade_dias;idade_anos;dias_desde_update;taxa_issues_fechadas
OpenAPI-Specification;2014-03-03 16:53:36+00:00;2026-03-14 16:16:57+00:00;30957;Markdown;14;1809;2412;2308;4394;12.04;0.03;0.956882255389718
lux;2018-02-24 11:29:03+00:00;2026-03-14 01:55:15+00:00;30948;Go;86;304;1074;549;2940;8.05;0.62;0.5111731843575419
btop;2021-05-06 18:40:21+00:00;2026-03-14 16:01:08+00:00;30931;C++;54;372;909;483;1772;4.85;0.04;0.5313531353135313
pytorch-lightning;2019-03-31 00:45:57+00:00;2026-03-14 16:38:46+00:00;30925;Python;172;9341;7502;6663;2540;6.96;0.01;0.8881631564916023
seaweedfs;2014-07-14 16:41:37+00:00;2026-03-14 16:39:30+00:00;30917;Go;291;3735;3557;2928;4261;11.67;0.01;0.8231655889794771
weekly;2017-03-20 06:10:04+00:00;2026-03-14 14:41:43+00:00;30900;JavaScript;193;136;371;366;3281;8.99;0.09;0.9865229110512129
calculator;2019-01-28 17:55:49+00:00;2026-03-14 12:59:33+00:00;30871;C++;0;913;1147;728;2601;7.13;0.16;0.6346992153443767
p3c;2017-06-23 06:15:51+00:00;2026-03-14 01:39:56+00:00;30833;Kotlin;0;62;859;698;3186;8.73;0.64;0.8125727590221188
webtorrent;2013-10-15 08:16:40+00:00;2026-03-14 14:21:41+00:00;30831;JavaScript;229;970;1675;1610;4533;12.42;0.11;0.9611940298507463
frigate;2019-01-26 13:52:38+00:00;2026-03-14 16:44:22+00:00;30824;TypeScript;76;3770;5900;5816;2604;7.13;0.01;0.9857627118644068
AI-Expert-Roadmap;2020-10-24 21:49:40+00:00;2026-03-14 16:29:35+00:00;30806;JavaScript;0;14;70;54;1966;5.39;0.02;0.7714285714285715
jQuery-File-Upload;2010-12-01 15:35:32+00:00;2026-03-14 07:38:38+00:00;30805;PHP;0;119;3305;3256;5582;15.29;0.39;0.9851739788199697
mantine;2021-01-07 14:02:19+00:00;2026-03-14 16:37:48+00:00;30787;TypeScript;292;1592;3460;3434;1892;5.18;0.01;0.992485549132948
TrackersListCollection;2019-10-03 15:55:07+00:00;2026-03-14 13:36:50+00:00;30776;;0;7;0;0;2354;6.45;0.14;0.0
refined-github;2016-02-15 16:45:02+00:00;2026-03-14 16:22:17+00:00;30701;TypeScript;187;3636;4710;4631;3680;10.08;0.02;0.9832271762208068
uppy;2015-11-16 12:32:33+00:00;2026-03-14 08:00:52+00:00;30682;TypeScript;392;3277;2520;2354;3771;10.33;0.37;0.9341269841269841
changedetection.io;2021-01-27 16:03:30+00:00;2026-03-14 16:09:12+00:00;30662;Python;204;1061;1626;1335;1872;5.13;0.03;0.8210332103321033
spring-boot-examples;2016-11-05 05:32:33+00:00;2026-03-14 10:07:16+00:00;30645;Java;0;7;110;100;3416;9.36;0.28;0.9090909090909091
DeepFaceLive;2020-12-15 12:19:22+00:00;2026-03-14 09:41:27+00:00;30625;Python;35;13;144;143;1915;5.25;0.3;0.9930555555555556
roop;2023-05-28 14:37:54+00:00;2026-03-14 15:36:39+00:00;30550;Python;6;0;0;0;1021;2.8;0.05;0.0
OpenSpec;2025-08-05 10:37:45+00:00;2026-03-14 16:38:48+00:00;30545;TypeScript;34;323;321;78;221;0.61;0.01;0.24299065420560748
layui;2015-09-22 08:12:03+00:00;2026-03-13 16:17:58+00:00;30541;JavaScript;173;674;1456;1399;3826;10.48;1.03;0.9608516483516484
one-api;2023-04-22 12:39:24+00:00;2026-03-14 16:45:46+00:00;30525;JavaScript;55;287;1798;897;1057;2.9;0.01;0.4988876529477197
vscodium;2018-08-13 14:26:58+00:00;2026-03-14 13:19:46+00:00;30507;Shell;267;633;1648;1517;2770;7.59;0.15;0.9205097087378641
deer-flow;2025-05-07 02:50:19+00:00;2026-03-14 16:48:05+00:00;30451;Python;0;448;539;326;311;0.85;0.0;0.6048237476808905
Proton;2018-03-13 18:45:27+00:00;2026-03-14 15:54:51+00:00;30422;C++;76;13;9049;4066;2922;8.01;0.04;0.449331417836225
BetterDisplay;2021-10-24 08:32:56+00:00;2026-03-14 14:51:18+00:00;30414;;122;2;2998;2852;1602;4.39;0.09;0.9513008672448299
particles.js;2014-09-06 14:29:47+00:00;2026-03-13 22:51:35+00:00;30360;JavaScript;6;21;413;107;4207;11.53;0.75;0.25907990314769974
react-three-fiber;2019-02-25 14:31:51+00:00;2026-03-14 06:58:14+00:00;30350;TypeScript;131;690;1172;1166;2574;7.05;0.41;0.9948805460750854
sequelize;2010-07-22 07:11:11+00:00;2026-03-14 14:42:19+00:00;30349;TypeScript;490;5023;10425;9526;5714;15.65;0.09;0.9137649880095923
awesome-macos-command-line;2015-09-22 19:37:55+00:00;2026-03-14 11:42:18+00:00;30347;;0;104;0;0;3825;10.48;0.22;0.0
hutool;2014-04-13 07:23:51+00:00;2026-03-14 12:01:31+00:00;30336;Java;157;515;3093;3091;4353;11.93;0.2;0.9993533785968316
algo;2016-05-15 03:42:48+00:00;2026-03-14 09:46:18+00:00;30333;Python;4;689;1650;1585;3590;9.84;0.3;0.9606060606060606
NeteaseCloudMusicApi;2016-06-22 11:58:03+00:00;2026-03-14 12:56:48+00:00;30296;;0;292;1336;1189;3552;9.73;0.17;0.8899700598802395
folly;2012-06-01 20:49:04+00:00;2026-03-14 16:42:00+00:00;30281;C++;281;13;1251;943;5033;13.79;0.01;0.753796962430056
awesome-python-cn;2015-11-03 09:50:50+00:00;2026-03-14 13:44:44+00:00;30269;Makefile;0;51;35;18;3784;10.37;0.13;0.5142857142857142
stanford_alpaca;2023-03-10 23:33:09+00:00;2026-03-14 09:49:24+00:00;30265;Python;0;6;268;98;1099;3.01;0.3;0.3656716417910448
HEAD;2016-04-20 20:05:37+00:00;2026-03-14 09:24:32+00:00;30248;;0;89;93;73;3614;9.9;0.31;0.7849462365591398
Avalonia;2013-12-05 20:13:21+00:00;2026-03-14 15:09:34+00:00;30247;C#;120;5672;8341;6508;4481;12.28;0.07;0.7802421771969787
os-tutorial;2014-09-29 08:39:34+00:00;2026-03-13 21:24:49+00:00;30244;C;0;11;182;106;4184;11.46;0.81;0.5824175824175825
openai-python;2020-10-25 23:23:54+00:00;2026-03-14 16:32:12+00:00;30231;Python;371;1055;1213;1044;1965;5.38;0.02;0.8606760098928277
tdesktop;2014-05-02 12:36:31+00:00;2026-03-14 14:20:53+00:00;30183;C++;831;1864;15809;14916;4334;11.87;0.11;0.9435131886899867
cheerio;2011-10-09 04:23:20+00:00;2026-03-14 08:39:46+00:00;30182;TypeScript;62;3136;1231;1210;5270;14.44;0.34;0.9829406986190089
dragonfly;2021-12-11 10:00:42+00:00;2026-03-14 15:03:49+00:00;30171;C++;114;4029;2144;1883;1554;4.26;0.08;0.8782649253731343
viper;2014-04-02 14:33:33+00:00;2026-03-14 16:45:33+00:00;30151;Go;35;520;931;923;4364;11.96;0.01;0.99140708915145
k6;2016-03-21 15:30:24+00:00;2026-03-14 12:33:13+00:00;30120;Go;85;2465;2572;1840;3645;9.99;0.18;0.7153965785381027
rust-course;2018-08-07 05:01:21+00:00;2026-03-14 12:57:38+00:00;30074;Rust;0;813;220;154;2776;7.61;0.17;0.7
jumpserver;2014-07-04 03:54:59+00:00;2026-03-14 14:25:30+00:00;30074;Python;264;7876;7653;7589;4271;11.7;0.1;0.9916372664314648
WindTerm;2019-10-09 19:56:09+00:00;2026-03-14 16:18:40+00:00;30044;C;32;1;2921;587;2347;6.43;0.03;0.20095857583019514
hosts;2012-04-12 20:22:50+00:00;2026-03-14 16:42:00+00:00;29999;Python;834;507;2209;2076;5083;13.93;0.01;0.939791760977818
turborepo;2021-10-05 17:37:11+00:00;2026-03-14 15:06:01+00:00;29997;Rust;723;7285;2062;1970;1620;4.44;0.08;0.9553831231813773
xxl-job;2015-11-28 12:59:34+00:00;2026-03-14 12:54:46+00:00;29980;Java;42;124;3340;3198;3759;10.3;0.17;0.9574850299401197
django-rest-framework;2011-03-02 17:13:56+00:00;2026-03-14 09:49:29+00:00;29930;Python;21;3110;3946;3907;5490;15.04;0.3;0.9901165737455652
css-protips;2015-08-29 12:29:03+00:00;2026-03-14 10:29:43+00:00;29929;;0;73;63;62;3850;10.55;0.27;0.9841269841269841
