name;created_at;updated_at;stars;language;releases;merged_pr;total_issues;closed_issues;idade_dias;idade_anos;dias_desde_update;taxa_issues_fechadas
awesome-cpp;2014-07-17 08:51:11+00:00;2026-03-14 16:41:27+00:00;70196;;0;840;591;356;4258;11.67;0.01;0.6023688663282571
swift;2015-10-23 21:15:07+00:00;2026-03-14 14:20:40+00:00;69860;C++;66;58195;17516;10095;3794;10.39;0.11;0.5763302123772551
tabby;2016-12-23 09:06:10+00:00;2026-03-14 16:42:31+00:00;69522;TypeScript;204;1512;6044;3511;3368;9.23;0.01;0.5809066843150231
SecLists;2012-02-19 01:30:18+00:00;2026-03-14 16:15:24+00:00;69458;PHP;29;696;318;309;5137;14.07;0.03;0.9716981132075472
awesome-scalability;2017-12-27 03:46:40+00:00;2026-03-14 15:33:11+00:00;69388;;0;37;0;0;2999;8.22;0.06;0.0
act;2019-01-02 19:53:43+00:00;2026-03-14 16:33:41+00:00;69345;Go;92;1057;1320;1077;2627;7.2;0.01;0.8159090909090909
OpenHands;2024-03-13 03:33:31+00:00;2026-03-14 15:56:19+00:00;69105;Python;100;6503;3866;3698;731;2.0;0.04;0.9565442317640973
express;2009-06-26 18:56:01+00:00;2026-03-14 16:32:13+00:00;68879;JavaScript;164;523;4030;3930;6104;16.72;0.02;0.9751861042183623
node;2023-02-01 13:55:02+00:00;2026-03-14 16:13:26+00:00;68691;Go;72;249;332;328;1137;3.12;0.03;0.9879518072289156
AppFlowy;2021-06-16 12:56:48+00:00;2026-03-14 15:49:44+00:00;68588;Dart;128;3894;3922;3022;1732;4.75;0.05;0.7705252422233554
LlamaFactory;2023-05-28 10:09:12+00:00;2026-03-14 16:02:21+00:00;68398;Python;35;907;7881;6973;1021;2.8;0.04;0.8847861946453496
ansible;2012-03-06 14:58:02+00:00;2026-03-14 16:02:33+00:00;68279;Python;207;39691;33295;32762;5121;14.03;0.04;0.9839915903288782
Chart.js;2013-03-17 23:56:36+00:00;2026-03-14 16:28:24+00:00;67261;JavaScript;117;3016;7301;6817;4744;13.0;0.02;0.9337077112724285
awesome-courses;2014-11-15 18:36:49+00:00;2026-03-14 16:41:35+00:00;67020;;0;194;83;39;4136;11.33;0.01;0.46987951807228917
anime;2016-03-13 21:37:45+00:00;2026-03-14 15:03:27+00:00;66848;JavaScript;34;87;836;750;3652;10.01;0.08;0.8971291866028708
33-js-concepts;2018-09-04 13:27:04+00:00;2026-03-14 15:33:38+00:00;66281;JavaScript;0;262;119;119;2748;7.53;0.06;1.0
webpack;2012-03-10 10:08:14+00:00;2026-03-14 14:26:24+00:00;66015;JavaScript;448;5581;10155;10045;5117;14.02;0.1;0.9891678975873953
annotated_deep_learning_paper_implementations;2020-08-25 02:29:34+00:00;2026-03-14 16:18:19+00:00;65966;Python;0;104;142;114;2027;5.55;0.03;0.8028169014084507
echarts;2013-04-03 03:18:59+00:00;2026-03-14 15:00:34+00:00;65933;TypeScript;122;1494;19315;17686;4728;12.95;0.08;0.9156614030546207
AFFiNE;2022-07-31 18:45:21+00:00;2026-03-14 16:18:13+00:00;65927;TypeScript;541;9047;3630;3121;1321;3.62;0.03;0.8597796143250689
ChinaTextbook;2020-01-05 04:11:06+00:00;2026-03-14 16:11:07+00:00;65834;Roff;0;1;163;76;2260;6.19;0.03;0.4662576687116564
gpt4free;2023-03-29 17:00:43+00:00;2026-03-14 15:04:12+00:00;65755;Python;432;875;1997;1993;1080;2.96;0.08;0.9979969954932398
ghidra;2019-03-01 03:27:48+00:00;2026-03-14 15:51:42+00:00;65735;Java;52;556;5872;4337;2570;7.04;0.04;0.7385899182561307
scikit-learn;2010-08-17 09:43:38+00:00;2026-03-14 16:00:44+00:00;65388;Python;49;14192;11990;10408;5688;15.58;0.04;0.8680567139282735
javascript-questions;2019-06-12 08:26:27+00:00;2026-03-14 16:37:01+00:00;65307;;0;328;252;233;2467;6.76;0.01;0.9246031746031746
awesome-nodejs;2014-07-11 13:35:34+00:00;2026-03-14 14:37:43+00:00;65294;;0;421;105;102;4264;11.68;0.1;0.9714285714285714
codex;2025-04-13 05:37:54+00:00;2026-03-14 16:33:58+00:00;65248;Rust;616;4589;6857;5089;335;0.92;0.01;0.7421612950269797
Java;2016-07-16 10:21:02+00:00;2026-03-14 13:22:26+00:00;65206;Java;0;2271;1205;1178;3528;9.67;0.15;0.9775933609958506
MetaGPT;2023-06-30 09:04:55+00:00;2026-03-14 16:26:39+00:00;65154;Python;22;673;909;892;988;2.71;0.02;0.9812981298129813
design-resources-for-developers;2020-05-06 14:40:35+00:00;2026-03-14 12:26:40+00:00;65015;;0;967;112;109;2138;5.86;0.19;0.9732142857142857
nocode;2018-02-06 23:54:00+00:00;2026-03-14 12:07:41+00:00;64995;Dockerfile;1;1;4928;729;2957;8.1;0.2;0.14793019480519481
daytona;2024-02-06 08:21:20+00:00;2026-03-14 16:42:23+00:00;64995;TypeScript;164;1913;1073;837;767;2.1;0.01;0.7800559179869525
interviews;2017-02-14 18:19:25+00:00;2026-03-14 15:16:56+00:00;64949;Java;0;42;58;24;3314;9.08;0.07;0.41379310344827586
Apollo-11;2014-04-03 15:45:02+00:00;2026-03-14 13:38:19+00:00;64661;Assembly;0;355;388;330;4363;11.95;0.14;0.8505154639175257
localstack;2016-10-25 23:48:03+00:00;2026-03-14 16:40:03+00:00;64656;Python;106;6813;6178;6178;3426;9.39;0.01;1.0
docusaurus;2017-06-20 16:13:53+00:00;2026-03-14 16:16:44+00:00;64117;TypeScript;154;5636;3405;3114;3189;8.74;0.03;0.9145374449339208
keras;2015-03-28 00:35:42+00:00;2026-03-14 16:00:55+00:00;63905;Python;86;4700;12669;12486;4004;10.97;0.04;0.9855552924461284
prometheus;2012-11-24 11:14:12+00:00;2026-03-14 11:41:22+00:00;63167;Go;359;8257;6399;5885;4858;13.31;0.22;0.9196749492108142
OpenBB;2020-12-20 10:46:38+00:00;2026-03-14 16:40:38+00:00;63045;Python;55;4222;2288;2251;1910;5.23;0.01;0.9838286713286714
socket.io;2010-03-11 18:24:48+00:00;2026-03-14 16:32:22+00:00;62949;TypeScript;83;441;3651;3466;5846;16.02;0.02;0.9493289509723364
alacritty;2016-02-18 05:02:30+00:00;2026-03-14 16:31:55+00:00;62941;Rust;105;1919;6256;5933;3677;10.07;0.02;0.9483695652173914
resume.github.com;2011-02-06 13:39:55+00:00;2026-03-14 14:31:45+00:00;62815;JavaScript;0;84;127;67;5515;15.11;0.1;0.5275590551181102
open-interpreter;2023-07-14 07:10:44+00:00;2026-03-14 16:15:18+00:00;62703;Python;48;384;1055;804;974;2.67;0.03;0.762085308056872
nocodb;2017-10-29 18:51:48+00:00;2026-03-14 15:24:25+00:00;62419;TypeScript;183;5855;4502;4066;3057;8.38;0.06;0.9031541537094625
traefik;2015-09-13 19:04:02+00:00;2026-03-14 15:32:34+00:00;62167;Go;509;5101;6619;5941;3834;10.5;0.06;0.8975676084000604
rustlings;2015-09-15 02:25:18+00:00;2026-03-14 16:41:26+00:00;62152;Rust;46;923;759;710;3833;10.5;0.01;0.9354413702239789
uBlock;2015-04-01 17:51:11+00:00;2026-03-14 16:37:35+00:00;62096;JavaScript;285;256;3447;3434;3999;10.96;0.01;0.996228604583696
nerd-fonts;2014-12-05 04:31:17+00:00;2026-03-14 16:01:28+00:00;61996;CSS;38;565;1127;1080;4117;11.28;0.04;0.9582963620230701
crawl4ai;2024-05-09 09:48:50+00:00;2026-03-14 16:35:39+00:00;61939;Python;13;170;938;924;674;1.85;0.01;0.9850746268656716
sway;2021-01-19 20:54:33+00:00;2026-03-13 17:06:52+00:00;61882;Rust;185;3643;3268;2420;1879;5.15;0.99;0.7405140758873929
tldr;2013-12-08 07:34:43+00:00;2026-03-14 16:32:57+00:00;61652;Markdown;6;17877;1688;1482;4479;12.27;0.02;0.8779620853080569
lodash;2012-04-07 04:11:46+00:00;2026-03-14 16:38:19+00:00;61575;JavaScript;2;614;4340;4276;5089;13.94;0.01;0.9852534562211982
redux;2015-05-29 23:53:15+00:00;2026-03-14 14:47:13+00:00;61438;TypeScript;78;1747;2067;2030;3941;10.8;0.09;0.9820996613449444
ladybird;2024-05-30 09:18:10+00:00;2026-03-14 16:32:44+00:00;61277;C++;0;5988;1493;937;653;1.79;0.02;0.6275954454119224
atom;2012-01-20 18:18:21+00:00;2026-03-14 10:19:02+00:00;60998;JavaScript;538;3937;17111;16148;5166;14.15;0.28;0.9437204137689206
ripgrep;2016-03-11 02:02:33+00:00;2026-03-14 16:05:41+00:00;60908;Rust;74;544;1775;1674;3655;10.01;0.03;0.9430985915492958
architect-awesome;2018-04-06 13:30:58+00:00;2026-03-14 08:41:58+00:00;60842;;0;49;71;23;2899;7.94;0.34;0.323943661971831
Front-end-Developer-Interview-Questions;2012-02-09 23:34:10+00:00;2026-03-14 11:29:36+00:00;60800;Nunjucks;0;485;177;143;5146;14.1;0.23;0.807909604519774
scrapy;2010-02-22 02:01:14+00:00;2026-03-14 16:07:33+00:00;60741;Python;46;2476;3242;2781;5864;16.07;0.03;0.8578038247995065
leetcode-master;2019-12-14 12:05:42+00:00;2026-03-14 16:04:28+00:00;60732;Shell;0;2311;277;68;2282;6.25;0.04;0.24548736462093862
minio;2015-01-14 19:23:58+00:00;2026-03-14 15:45:07+00:00;60482;Go;521;9882;7885;7840;4076;11.17;0.05;0.9942929613189601
openpilot;2016-11-24 01:33:30+00:00;2026-03-14 16:28:20+00:00;60307;Python;61;12712;3231;3066;3397;9.31;0.02;0.9489322191272052
markdown-here;2012-05-13 03:27:22+00:00;2026-03-14 07:44:20+00:00;60171;JavaScript;17;27;635;334;5053;13.84;0.38;0.525984251968504
jquery;2009-04-03 15:20:14+00:00;2026-03-14 09:44:54+00:00;59868;JavaScript;13;870;2381;2305;6189;16.96;0.3;0.9680806383872322
nuxt;2016-10-26 11:18:47+00:00;2026-03-14 16:22:27+00:00;59836;TypeScript;275;7534;17186;16389;3426;9.39;0.02;0.9536250436401722
drawio-desktop;2017-05-25 20:58:42+00:00;2026-03-14 16:11:13+00:00;59822;JavaScript;170;26;1743;1680;3214;8.81;0.03;0.963855421686747
spring-framework;2010-12-08 04:04:45+00:00;2026-03-14 15:38:26+00:00;59757;Java;359;908;27922;27609;5575;15.27;0.05;0.9887902012749803
git;2008-07-23 14:21:26+00:00;2026-03-14 15:56:32+00:00;59666;C;0;4;0;0;6443;17.65;0.04;0.0
Real-Time-Voice-Cloning;2019-05-26 08:56:15+00:00;2026-03-14 16:32:00+00:00;59521;Python;0;51;1112;952;2484;6.81;0.02;0.8561151079136691
30-Days-Of-Python;2019-11-19 17:24:16+00:00;2026-03-14 16:05:47+00:00;59504;Python;0;137;147;84;2306;6.32;0.03;0.5714285714285714
pathway;2022-11-27 13:01:14+00:00;2026-03-14 16:39:04+00:00;59395;Python;84;19;144;113;1203;3.3;0.01;0.7847222222222222
shadowsocks-windows;2013-01-14 07:54:16+00:00;2026-03-14 15:55:37+00:00;59281;C#;55;290;2915;2727;4807;13.17;0.04;0.9355060034305317
Magisk;2016-09-08 12:42:53+00:00;2026-03-14 16:37:32+00:00;59270;Rust;156;1690;6491;6454;3474;9.52;0.01;0.994299799722693
awesome-flutter;2017-05-07 11:45:27+00:00;2026-03-14 14:46:36+00:00;59266;Dart;0;448;0;0;3233;8.86;0.09;0.0
llama;2023-02-14 09:29:12+00:00;2026-03-14 16:25:40+00:00;59220;Python;0;54;1112;652;1124;3.08;0.02;0.5863309352517986
cline;2024-07-06 07:28:10+00:00;2026-03-14 16:27:00+00:00;58967;TypeScript;241;3285;3445;2941;616;1.69;0.02;0.8537010159651669
angular.js;2010-01-06 00:34:37+00:00;2026-03-14 14:47:51+00:00;58915;JavaScript;0;790;9033;8644;5911;16.19;0.09;0.9569356802834053
awesome-chatgpt-prompts-zh;2022-12-12 01:55:03+00:00;2026-03-14 16:36:43+00:00;58720;;0;33;97;59;1188;3.25;0.01;0.6082474226804123
rails;2008-04-11 02:19:47+00:00;2026-03-14 13:33:38+00:00;58328;Ruby;160;25901;18493;17981;6546;17.93;0.14;0.9723138484832099
mkcert;2018-06-25 05:33:03+00:00;2026-03-14 16:18:54+00:00;58301;Go;14;52;350;241;2819;7.72;0.03;0.6885714285714286
FFmpeg;2011-04-14 14:12:38+00:00;2026-03-14 16:06:17+00:00;57896;C;0;0;0;0;5448;14.93;0.03;0.0
memos;2021-12-08 15:30:18+00:00;2026-03-14 16:31:49+00:00;57857;Go;86;1929;2836;2825;1557;4.27;0.02;0.9961212976022567
bat;2018-04-21 10:52:23+00:00;2026-03-14 15:00:12+00:00;57632;Rust;43;1584;1581;1271;2884;7.9;0.08;0.803921568627451
astro;2021-03-15 17:19:47+00:00;2026-03-14 16:37:14+00:00;57535;TypeScript;1000;8316;6026;5831;1824;5.0;0.01;0.9676402256886824
html5-boilerplate;2010-01-24 18:03:24+00:00;2026-03-14 14:12:57+00:00;57402;JavaScript;34;804;1358;1353;5892;16.14;0.11;0.9963181148748159
zustand;2019-04-09 09:10:06+00:00;2026-03-14 16:30:38+00:00;57374;TypeScript;101;889;693;691;2531;6.93;0.02;0.9971139971139971
fuel-core;2020-08-27 21:12:14+00:00;2026-03-14 09:11:11+00:00;57297;Rust;125;1624;1154;996;2024;5.55;0.32;0.8630849220103987
DeepLearning-500-questions;2018-06-27 06:36:45+00:00;2026-03-14 14:36:05+00:00;57216;JavaScript;0;302;192;81;2817;7.72;0.1;0.421875
private-gpt;2023-05-02 09:15:31+00:00;2026-03-14 13:48:28+00:00;57179;Python;10;226;1228;965;1047;2.87;0.13;0.7858306188925082
yolov5;2020-05-18 03:45:11+00:00;2026-03-14 15:43:30+00:00;57018;Python;10;2240;9440;9402;2126;5.82;0.05;0.9959745762711865
you-get;2012-08-20 15:53:36+00:00;2026-03-14 14:57:18+00:00;56775;Python;123;582;0;0;4954;13.57;0.08;0.0
vaultwarden;2018-02-17 22:40:20+00:00;2026-03-14 13:51:30+00:00;56739;Rust;78;1089;2571;2560;2946;8.07;0.13;0.9957215091404122
pocketbase;2022-07-05 06:06:21+00:00;2026-03-14 15:52:10+00:00;56736;Go;247;55;1953;1929;1348;3.69;0.04;0.9877112135176651
meilisearch;2018-04-23 11:45:28+00:00;2026-03-14 15:13:40+00:00;56392;Rust;302;2348;2402;2175;2882;7.9;0.07;0.9054954204829309
react-router;2014-05-16 22:22:51+00:00;2026-03-14 11:48:59+00:00;56301;TypeScript;326;3417;8312;8197;4319;11.83;0.21;0.9861645813282002
anything-llm;2023-06-04 02:29:14+00:00;2026-03-14 16:31:51+00:00;56207;JavaScript;25;1319;3248;2974;1014;2.78;0.02;0.9156403940886699
face_recognition;2017-03-03 21:52:39+00:00;2026-03-14 15:14:00+00:00;56197;Python;2;94;1378;598;3297;9.03;0.07;0.4339622641509434
MinerU;2024-02-29 08:52:34+00:00;2026-03-14 16:25:24+00:00;56172;Python;143;1320;2103;1912;744;2.04;0.02;0.9091773656680932
awesome-rust;2014-07-17 10:45:10+00:00;2026-03-14 16:03:49+00:00;56144;Rust;0;1713;144;134;4258;11.67;0.04;0.9305555555555556
llm-app;2023-07-19 08:43:37+00:00;2026-03-14 16:39:06+00:00;56141;Jupyter Notebook;0;49;18;13;969;2.65;0.01;0.7222222222222222
pi-hole;2014-06-08 15:02:55+00:00;2026-03-14 15:57:47+00:00;56107;Shell;123;2175;3128;3095;4297;11.77;0.04;0.9894501278772379
rclone;2014-03-16 16:19:57+00:00;2026-03-14 15:14:36+00:00;56022;Go;122;2315;5979;5038;4381;12.0;0.07;0.84261582204382
gatsby;2015-05-21 22:43:05+00:00;2026-03-13 23:31:46+00:00;55945;JavaScript;158;18268;14130;13915;3949;10.82;0.72;0.9847841472045293
leetcode;2018-03-30 09:13:51+00:00;2026-03-14 09:13:59+00:00;55820;JavaScript;40;257;256;248;2906;7.96;0.32;0.96875
docling;2024-07-09 07:50:26+00:00;2026-03-14 16:32:39+00:00;55798;Python;159;765;1651;836;613;1.68;0.02;0.5063597819503332
GPT-SoVITS;2024-01-14 18:05:21+00:00;2026-03-14 16:36:59+00:00;55768;Python;4;355;2013;1235;789;2.16;0.01;0.61351217088922
rich;2019-11-10 15:28:09+00:00;2026-03-14 11:56:13+00:00;55768;Python;175;860;1481;1265;2316;6.35;0.21;0.8541525995948683
github-cheat-sheet;2014-04-12 16:38:42+00:00;2026-03-14 16:41:49+00:00;55653;;0;129;75;49;4354;11.93;0.01;0.6533333333333333
awesome-android-ui;2014-12-24 01:45:03+00:00;2026-03-14 13:01:13+00:00;55645;;0;90;115;94;4098;11.23;0.16;0.8173913043478261
autogen;2023-08-18 11:43:45+00:00;2026-03-14 15:12:55+00:00;55604;Python;98;2535;2947;2496;939;2.57;0.07;0.8469630132337971
project-layout;2017-09-09 16:33:26+00:00;2026-03-14 15:40:27+00:00;55546;Makefile;0;94;116;44;3108;8.52;0.05;0.3793103448275862
OpenManus;2025-03-06 14:08:14+00:00;2026-03-14 15:37:40+00:00;55233;Python;3;115;743;392;373;1.02;0.05;0.5275908479138627
hackingtool;2020-04-11 09:21:31+00:00;2026-03-14 16:00:05+00:00;55231;Python;0;57;393;324;2163;5.93;0.04;0.8244274809160306
gpt-engineer;2023-04-29 12:52:15+00:00;2026-03-14 15:06:56+00:00;55222;Python;21;351;502;471;1050;2.88;0.08;0.9382470119521913
appwrite;2019-04-08 16:36:25+00:00;2026-03-14 15:18:30+00:00;55095;TypeScript;120;4471;4310;3832;2532;6.94;0.07;0.8890951276102088
faceswap;2017-12-19 09:44:13+00:00;2026-03-14 13:09:17+00:00;55039;Python;5;364;898;896;3007;8.24;0.16;0.9977728285077951
nanoGPT;2022-12-28 00:51:12+00:00;2026-03-14 16:34:09+00:00;54847;Python;0;45;355;114;1172;3.21;0.01;0.3211267605633803
starship;2019-04-02 03:23:12+00:00;2026-03-14 16:17:22+00:00;54794;Rust;138;3062;2631;1853;2538;6.95;0.03;0.7042949448878754
marktext;2017-11-12 16:05:25+00:00;2026-03-14 15:55:43+00:00;54436;JavaScript;36;944;3009;1656;3044;8.34;0.04;0.5503489531405783
ultralytics;2022-09-11 16:39:45+00:00;2026-03-14 16:32:07+00:00;54387;Python;349;4283;12514;12398;1280;3.51;0.02;0.9907303819721911
ChatGPT;2022-12-07 09:43:02+00:00;2026-03-14 13:58:35+00:00;54371;Rust;34;123;1256;368;1193;3.27;0.12;0.2929936305732484
gitea;2016-11-01 02:13:26+00:00;2026-03-14 16:22:16+00:00;54291;Go;225;18557;15454;12823;3420;9.37;0.02;0.8297528148052284
element;2016-09-03 06:19:26+00:00;2026-03-13 10:28:20+00:00;54208;Vue;145;3231;17895;15249;3479;9.53;1.27;0.8521374685666387
maybe;2024-01-01 22:23:46+00:00;2026-03-14 14:41:54+00:00;54047;Ruby;28;1073;0;0;802;2.2;0.09;0.0
ai-agents-for-beginners;2024-11-28 10:42:52+00:00;2026-03-14 16:38:40+00:00;53972;Jupyter Notebook;0;317;88;86;471;1.29;0.01;0.9772727272727273
unsloth;2023-11-29 16:50:09+00:00;2026-03-14 16:34:28+00:00;53967;Python;23;803;3007;2131;836;2.29;0.01;0.7086797472564017
joplin;2017-01-16 21:49:41+00:00;2026-03-14 15:37:07+00:00;53895;TypeScript;401;5292;7800;7237;3343;9.16;0.05;0.9278205128205128
requests;2011-02-13 18:38:17+00:00;2026-03-14 16:29:16+00:00;53858;Python;14;1619;4130;3947;5507;15.09;0.02;0.9556900726392252
normalize.css;2011-05-04 10:20:25+00:00;2026-03-14 12:54:36+00:00;53767;CSS;0;56;517;470;5428;14.87;0.17;0.9090909090909091
segment-anything;2023-03-23 17:03:03+00:00;2026-03-14 16:28:27+00:00;53664;Jupyter Notebook;0;16;717;182;1086;2.98;0.02;0.25383542538354253
dive;2018-05-13 15:44:01+00:00;2026-03-14 16:25:00+00:00;53571;Go;28;164;373;205;2862;7.84;0.02;0.5495978552278821
powerlevel10k;2019-02-24 19:09:45+00:00;2026-03-14 16:21:31+00:00;53295;Shell;33;169;2604;2488;2574;7.05;0.02;0.9554531490015361
core;2018-06-12 13:49:36+00:00;2026-03-14 15:26:55+00:00;53234;TypeScript;269;3664;5964;5321;2832;7.76;0.06;0.892186452045607
trackerslist;2016-04-24 11:57:57+00:00;2026-03-14 13:47:35+00:00;53189;;0;1;511;501;3611;9.89;0.13;0.9804305283757339
first-contributions;2016-09-20 14:35:09+00:00;2026-03-14 16:30:43+00:00;52983;;0;95042;1370;1331;3462;9.48;0.02;0.9715328467153285
pdf.js;2011-04-26 06:32:03+00:00;2026-03-14 15:07:53+00:00;52980;JavaScript;83;8514;10429;10004;5436;14.89;0.07;0.9592482500719148
material-design-icons;2014-10-08 18:01:28+00:00;2026-03-14 14:45:58+00:00;52977;;16;50;1565;1176;4174;11.44;0.09;0.7514376996805112
n8n-workflows;2025-05-14 08:43:59+00:00;2026-03-14 16:05:26+00:00;52902;Python;1;34;99;81;304;0.83;0.03;0.8181818181818182
ImHex;2020-11-10 14:27:00+00:00;2026-03-14 16:14:14+00:00;52870;C++;82;728;1561;1254;1950;5.34;0.03;0.803331197950032
Free-Certifications;2020-07-31 10:26:19+00:00;2026-03-14 16:38:18+00:00;52612;;0;115;65;19;2052;5.62;0.01;0.2923076923076923
kotlin;2012-02-13 17:29:58+00:00;2026-03-14 13:05:06+00:00;52450;Kotlin;285;2157;0;0;5142;14.09;0.16;0.0
ionic-framework;2013-08-20 23:06:02+00:00;2026-03-14 00:31:49+00:00;52402;TypeScript;931;6530;22145;21550;4588;12.57;0.68;0.9731316324226688
Docker-OSX;2020-06-04 11:01:37+00:00;2026-03-14 09:45:14+00:00;52268;Shell;0;109;681;287;2109;5.78;0.3;0.42143906020558003
v2rayNG;2019-05-15 02:15:31+00:00;2026-03-14 16:42:18+00:00;52128;Kotlin;284;541;3710;3699;2495;6.84;0.01;0.9970350404312669
Ghost;2013-05-04 11:09:13+00:00;2026-03-14 14:44:21+00:00;52038;JavaScript;956;15768;7219;7156;4697;12.87;0.09;0.9912730295054717
typst;2019-09-24 21:41:56+00:00;2026-03-14 13:46:42+00:00;52036;Rust;27;2248;4078;2972;2362;6.47;0.13;0.7287886218734674
termux-app;2015-10-23 09:42:46+00:00;2026-03-14 16:21:45+00:00;51942;Java;95;177;3033;2596;3795;10.4;0.02;0.8559182327728322
PowerShell;2016-01-13 23:41:35+00:00;2026-03-14 16:36:09+00:00;51862;C#;195;8127;13337;12149;3712;10.17;0.01;0.910924495763665
prettier;2016-11-29 17:13:37+00:00;2026-03-14 15:39:47+00:00;51744;JavaScript;134;9670;7183;5981;3391;9.29;0.05;0.8326604482806627
coolify;2021-01-25 20:54:01+00:00;2026-03-14 16:32:34+00:00;51692;PHP;670;2352;3507;2954;1873;5.13;0.02;0.8423153692614771
etcd;2013-07-06 21:57:21+00:00;2026-03-14 13:46:30+00:00;51608;Go;272;10240;7127;7017;4633;12.69;0.13;0.984565735933773
grok-1;2024-03-17 08:53:38+00:00;2026-03-14 14:33:17+00:00;51532;Python;0;5;0;0;727;1.99;0.1;0.0
awesome-ios;2014-07-10 16:03:45+00:00;2026-03-14 15:47:01+00:00;51528;Swift;0;2240;494;490;4265;11.68;0.05;0.9919028340080972
guava;2014-05-29 16:23:17+00:00;2026-03-14 11:21:20+00:00;51505;Java;57;1211;3650;3031;4307;11.8;0.23;0.8304109589041095
jekyll;2008-10-20 06:29:03+00:00;2026-03-14 12:44:02+00:00;51445;Ruby;112;3198;4925;4798;6354;17.41;0.17;0.9742131979695432
Semantic-UI;2013-04-08 23:32:04+00:00;2026-03-14 02:10:25+00:00;51135;JavaScript;154;356;6235;5269;4722;12.94;0.61;0.8450681635926223
chinese-poetry;2016-09-02 03:32:25+00:00;2026-03-14 16:28:30+00:00;51090;JavaScript;1;137;212;92;3480;9.53;0.02;0.4339622641509434
DefinitelyTyped;2012-10-05 16:39:45+00:00;2026-03-14 16:11:50+00:00;51060;TypeScript;1;52983;8112;7546;4908;13.45;0.03;0.9302268244575936
Motrix;2018-12-18 11:45:05+00:00;2026-03-14 12:13:41+00:00;51032;JavaScript;21;192;1356;600;2643;7.24;0.2;0.4424778761061947
go-ethereum;2013-12-26 13:05:46+00:00;2026-03-14 16:31:23+00:00;50917;Go;228;8807;8637;8451;4461;12.22;0.02;0.9784647447030219
Flowise;2023-03-31 12:23:09+00:00;2026-03-14 16:19:23+00:00;50739;TypeScript;80;1593;2517;1877;1079;2.96;0.02;0.7457290425109258
professional-programming;2015-11-07 05:07:52+00:00;2026-03-14 16:43:19+00:00;50664;Python;0;43;32;32;3780;10.36;0.01;1.0
awesome-wechat-weapp;2016-09-22 20:04:48+00:00;2026-03-14 16:13:01+00:00;50615;;0;278;0;0;3459;9.48;0.03;0.0
hiring-without-whiteboards;2017-03-15 05:09:01+00:00;2026-03-14 16:28:19+00:00;50489;JavaScript;0;1309;0;0;3286;9.0;0.02;0.0
windows;2024-01-14 13:09:40+00:00;2026-03-14 15:53:16+00:00;50338;Shell;119;519;984;883;790;2.16;0.04;0.8973577235772358
MoneyPrinterTurbo;2024-03-11 02:57:34+00:00;2026-03-14 16:12:04+00:00;50205;Python;9;145;620;400;733;2.01;0.03;0.6451612903225806
lazydocker;2019-05-18 08:53:50+00:00;2026-03-14 14:51:45+00:00;50116;Go;45;191;397;205;2492;6.83;0.09;0.5163727959697733
bulma;2016-01-23 23:48:34+00:00;2026-03-14 09:46:14+00:00;50062;CSS;22;646;2743;2403;3702;10.14;0.3;0.8760481224936201
100-Days-Of-ML-Code;2018-07-05 09:11:43+00:00;2026-03-14 16:29:43+00:00;49868;;0;6;0;0;2809;7.7;0.02;0.0
mem0;2023-06-20 08:58:36+00:00;2026-03-14 16:35:28+00:00;49799;Python;273;1834;1412;1002;998;2.73;0.01;0.7096317280453258
mastodon;2016-02-22 15:01:25+00:00;2026-03-14 15:24:13+00:00;49750;Ruby;327;19231;12755;8556;3673;10.06;0.06;0.6707957663661309
cypress;2015-03-04 00:46:28+00:00;2026-03-14 01:59:59+00:00;49610;TypeScript;388;8088;15328;14134;4028;11.04;0.62;0.9221033402922756
odoo;2014-05-13 15:38:58+00:00;2026-03-14 16:01:17+00:00;49513;Python;0;6182;18830;15257;4323;11.84;0.04;0.8102496016994158
hacker-scripts;2015-11-21 19:05:09+00:00;2026-03-14 16:38:52+00:00;49430;JavaScript;0;63;105;68;3765;10.32;0.01;0.6476190476190476
jellyfin;2018-12-09 06:36:45+00:00;2026-03-14 16:41:06+00:00;49311;C#;102;5194;8213;7586;2652;7.27;0.01;0.9236576159746743
lx-music-desktop;2019-08-14 14:31:08+00:00;2026-03-14 15:56:36+00:00;49302;TypeScript;112;91;2366;1277;2404;6.59;0.04;0.5397295012679628
open-source-ios-apps;2015-01-26 23:32:34+00:00;2026-03-14 15:42:09+00:00;49223;;37;1551;333;333;4064;11.13;0.05;1.0
alist;2020-12-23 17:40:29+00:00;2026-03-14 15:23:05+00:00;49169;Go;143;905;4433;3898;1906;5.22;0.06;0.8793142341529439
json;2013-07-04 08:47:49+00:00;2026-03-14 14:45:13+00:00;49114;C++;45;1010;2369;2333;4636;12.7;0.09;0.9848037146475306
dbeaver;2015-10-21 08:26:28+00:00;2026-03-14 15:07:42+00:00;49097;Java;243;6755;20033;16869;3797;10.4;0.07;0.8420606000099835
winutil;2022-04-28 02:25:19+00:00;2026-03-14 16:25:41+00:00;49067;PowerShell;35;1085;2169;2163;1416;3.88;0.02;0.9972337482710927
context7;2025-03-26 23:40:39+00:00;2026-03-14 16:34:08+00:00;49010;TypeScript;54;287;1754;1618;352;0.96;0.01;0.9224629418472063
TrendRadar;2025-04-28 11:42:16+00:00;2026-03-14 16:30:16+00:00;48917;Python;0;1;402;375;320;0.88;0.02;0.9328358208955224
